Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
87,tt0388644,8/20/2018,8/20/2018,,Soupçons,https://www.imdb.com/title/tt0388644/,tvSeries,7.9,629,2004,"Documentary, Crime, Drama",19700,6/30/2004,
88,tt7197684,8/20/2018,8/20/2018,,Suburra - La serie,https://www.imdb.com/title/tt7197684/,tvSeries,7.9,50,2017,"Action, Crime",12599,9/2/2017,
89,tt10837476,1/12/2020,1/12/2020,,Inside Bill's Brain: Decoding Bill Gates,https://www.imdb.com/title/tt10837476/,tvMiniSeries,7.9,52,2019,Documentary,9709,9/20/2019,
90,tt5580146,1/27/2020,1/27/2020,,Maniac,https://www.imdb.com/title/tt5580146/,tvMiniSeries,7.8,386,2018,"Comedy, Drama, Sci-Fi",68156,9/21/2018,
91,tt5580540,5/4/2017,5/4/2017,,Santa Clarita Diet,https://www.imdb.com/title/tt5580540/,tvSeries,7.8,30,2017,"Comedy, Horror",58954,1/20/2017,
92,tt4834206,1/19/2017,1/19/2017,,A Series of Unfortunate Events,https://www.imdb.com/title/tt4834206/,tvSeries,7.8,50,2017,"Adventure, Comedy, Drama, Family, Mystery",54965,1/11/2017,
93,tt9425132,3/3/2019,3/3/2019,,Conversations with a Killer: The Ted Bundy Tapes,https://www.imdb.com/title/tt9425132/,tvMiniSeries,7.8,236,2019,"Documentary, Biography, Crime, History",25074,1/24/2019,
94,tt6692188,11/28/2017,11/28/2017,,El Chapo,https://www.imdb.com/title/tt6692188/,tvSeries,7.8,43,2017,"Crime, Drama",15676,4/23/2017,
95,tt7263154,1/12/2020,1/12/2020,,Undercover,https://www.imdb.com/title/tt7263154/,tvSeries,7.8,50,2019,"Crime, Drama, Thriller",12039,2/24/2019,
96,tt10050772,5/8/2021,5/8/2021,,I Think You Should Leave with Tim Robinson,https://www.imdb.com/title/tt10050772/,tvSeries,7.7,16,2019,Comedy,6163,4/23/2019,
97,tt7335184,1/12/2020,1/12/2020,,You,https://www.imdb.com/title/tt7335184/,tvSeries,7.7,45,2018,"Crime, Drama, Romance, Thriller",152602,9/9/2018,
98,tt4061080,9/19/2016,9/19/2016,,Love,https://www.imdb.com/title/tt4061080/,tvSeries,7.7,50,2016,"Comedy, Drama, Romance",38280,2/19/2016,
99,tt1034007,11/19/2017,11/19/2017,,Alias Grace,https://www.imdb.com/title/tt1034007/,tvMiniSeries,7.7,267,2017,"Biography, Crime, Drama, Thriller",27544,9/12/2017,
100,tt7985576,5/8/2021,5/8/2021,,The Serpent,https://www.imdb.com/title/tt7985576/,tvMiniSeries,7.7,458,2021,"Crime, Drama, Thriller",29037,1/1/2021,
